joylashuv;xonalar;maydon;qavat;bino_qavati;narx
Mirobod;4;110;9;9;70000
Sergeli;2;57;1;7;34800
Mirobod;4;110;4;4;45000
Mirzo Ulugbek;1;70;4;5;38500
Yashnobod;3;58;1;5;40000
Olmzor;2;56,47;2;4;35000
Yunusobod;3;68;1;4;43000
Yunusobod;2;60;1;5;39000
Yunusobod;4;106;1;6;105000
Yunusobod;4;86;2;5;70000
Yunusobod;2;60;1;5;42000
Yunusobod;3;70;2;4;48000
Sergeli;2;41;2;3;29000
Olmzor;1;42;1;5;23500
Sergeli;2;59;1;5;38500
Shayhontohur;2;50;8;12;29900
Mirzo Ulugbek;3;95;5;18;66000
Sergeli;4;91;4;5;43000
Shayhontohur;2;50;8;12;29900
Yashnobod;1;29,7;1;1;20500
Mirzo Ulugbek;1;36;3;4;25000
Chilonzor;2;60;7;9;39985
Mirzo Ulugbek;4;85;2;4;69990
Shayhontohur;4;139;6;7;150000
Uchtepa;3;57;2;5;55000
Mirzo Ulugbek;4;65;4;4;63000
Yunusobod;1;44;2;7;60000
Chilonzor;3;96;2;4;88000
Mirzo Ulugbek;4;106;9;11;106000
Mirzo Ulugbek;2;50;5;5;34500
Uchtepa;1;42;2;4;25700
Mirobod;4;182;2;7;335000
Chilonzor;1;42;3;4;26200
Chilonzor;1;30;2;4;25700
Mirzo Ulugbek;2;46;2;4;46500
Yakkasaroy;3;105;5;10;125000
Mirzo Ulugbek;2;46;5;5;38000
Yashnobod;2;35;7;9;19000
Yunusobod;4;155;5;8;125000
Yakkasaroy;3;150;3;8;225000
Uchtepa;3;70;1;5;48000
Uchtepa;4;86;5;5;46000
Mirzo Ulugbek;2;46;5;5;39000
Yunusobod;3;78;4;4;48000
Mirobod;3;72;2;9;82000
Chilonzor;3;75;5;9;55000
Mirzo Ulugbek;2;60;1;4;47500
Mirobod;3;75;2;9;74000
Mirzo Ulugbek;2;70;3;9;90000
Chilonzor;3;61;3;4;38000
Shayhontohur;3;92;4;8;115000
Yunusobod;2;55;3;4;58000
Olmzor;3;75;5;5;50000
Mirzo Ulugbek;2;65;4;4;57000
Mirzo Ulugbek;1;30;4;4;22000
Mirzo Ulugbek;3;90;2;9;51000
Olmzor;4;98;6;9;71000
Shayhontohur;1;42;2;4;37000
Mirzo Ulugbek;2;52;4;5;36000
Mirzo Ulugbek;3;80;1;5;51000
Chilonzor;3;48;4;5;39500
Sergeli;1;39;5;5;21000
Chilonzor;4;125;6;9;250000
Mirzo Ulugbek;2;60;4;4;31500
Mirzo Ulugbek;3;94;5;5;50000
Mirobod;4;160;2;9;365000
Yakkasaroy;1;45;9;10;28000
Mirzo Ulugbek;2;62;3;5;55000
Yashnobod;2;52;1;4;41000
Mirobod;4;282;7;8;305000
Mirzo Ulugbek;3;78;5;5;39000
Mirzo Ulugbek;2;40;2;4;35500
Chilonzor;1;26;1;4;29500
Olmzor;2;74;4;9;41000
Mirzo Ulugbek;3;67;9;9;29900
Mirzo Ulugbek;2;60;3;9;45000
Yunusobod;4;140;4;8;100000
Chilonzor;1;30;2;4;25400
Chilonzor;2;60;4;9;46500
Mirobod;2;60;3;9;54000
Yakkasaroy;3;70;4;5;60000
Yakkasaroy;4;138;2;8;145000
Uchtepa;1;36;3;4;25200
Yakkasaroy;2;48;5;9;23000
Mirzo Ulugbek;3;78;3;4;47000
Chilonzor;2;43;2;4;42000
Mirobod;4;182;5;7;340000
Mirzo Ulugbek;3;65;3;5;52000
Yashnobod;1;36;1;4;28000
Mirzo Ulugbek;1;35;2;5;25500
Mirzo Ulugbek;3;73;5;9;57000
Yashnobod;4;105;6;9;60000
Chilonzor;2;43;1;4;33500
Yunusobod;3;78;5;5;36500
Mirobod;2;63;4;9;76000
Mirzo Ulugbek;3;90;5;5;45000
Sergeli;5;118;4;9;57993
Yunusobod;3;75;4;4;52000
Mirzo Ulugbek;3;74;5;9;62000
Mirobod;4;150;3;8;54000
Yunusobod;1;41;1;4;30000
Chilonzor;3;120;2;8;160000
Mirzo Ulugbek;4;97;4;9;95600
Mirobod;5;110;5;9;140000
Uchtepa;3;72;9;9;40000
Mirzo Ulugbek;3;94;16;23;118000
Mirobod;2;115;7;8;160000
Yakkasaroy;2;45;1;4;40000
Mirobod;2;97;6;8;155000
Sergeli;4;100;1;4;87000
Mirzo Ulugbek;3;41;5;5;45000
Yakkasaroy;4;60;4;4;75000
Chilonzor;3;70;1;4;48000
Mirobod;3;88;5;5;55000
Mirobod;3;110;2;8;169000
Chilonzor;3;70;3;4;55000
Yunusobod;3;80;2;4;90000
Olmzor;3;73;2;5;55000
Mirzo Ulugbek;2;67;3;4;42200
Mirzo Ulugbek;4;100;2;4;95000
Mirobod;3;75;6;9;59500
Uchtepa;2;51;1;5;43500
Mirobod;2;55;2;4;26300
Shayhontohur;1;70;6;7;57500
Mirzo Ulugbek;3;68;4;4;47000
Shayhontohur;3;101;3;7;105000
Yakkasaroy;2;50;3;12;42000
Mirobod;1;40;4;4;46500
Mirzo Ulugbek;3;75;4;5;47000
Mirobod;3;75;8;9;85000
Yashnobod;3;86;5;9;75000
Mirzo Ulugbek;2;60;3;4;102000
Yashnobod;2;58;4;9;55000
Chilonzor;4;125;3;9;210000
Chilonzor;3;114;2;9;160000
Chilonzor;1;30;4;4;27700
Shayhontohur;3;90;12;12;37000
Mirzo Ulugbek;3;70;4;4;61000
Olmzor;4;100;2;9;57000
Sergeli;3;79,3;13;16;38448
Mirzo Ulugbek;3;91;3;5;51000
Uchtepa;3;80;4;4;50000
Mirzo Ulugbek;2;55;7;7;57000
Chilonzor;3;75;5;9;57000
Mirobod;2;45;6;9;58000
Mirzo Ulugbek;2;90;2;9;51000
Chilonzor;2;52;2;4;41500
Chilonzor;3;65;4;4;42000
Chilonzor;2;45;2;4;32000
Bektemir;3;56;4;4;28100
Yunusobod;3;78;4;4;55000
Mirzo Ulugbek;2;60;6;9;34000
Mirobod;4;90;6;9;73000
Mirzo Ulugbek;3;73;5;5;52000
Mirzo Ulugbek;1;20;3;4;12100
Uchtepa;2;42;4;5;28500
Mirobod;3;105;7;9;125000
Mirzo Ulugbek;2;42;2;5;33500
Bektemir;2;30;1;4;26100
Mirobod;2;55;5;5;35000
Mirzo Ulugbek;2;50;5;5;35000
Mirzo Ulugbek;2;55;4;4;35000
Yunusobod;2;50;4;4;33500
Shayhontohur;4;130;2;3;106000
Yunusobod;1;45;4;4;26000
Mirzo Ulugbek;1;42;1;4;26500
Yakkasaroy;2;64;1;5;42000
Shayhontohur;2;42;8;9;29999
Chilonzor;2;50;2;4;45000
Yashnobod;2;30;7;9;21500
Chilonzor;2;45;1;4;39000
Mirzo Ulugbek;1;24;1;4;19000
Yakkasaroy;2;49;5;9;23000
Yakkasaroy;5;116;4;9;72000
Chilonzor;2;40;4;4;30000
Chilonzor;1;49;3;12;33500
Chilonzor;2;45;4;4;35500
Yunusobod;4;215;7;9;185000
Yakkasaroy;3;93;5;7;75000
Yakkasaroy;3;91;3;4;73000
Mirzo Ulugbek;1;22;4;4;19000
Shayhontohur;6;130;7;9;56000
Yunusobod;4;95,13;8;9;68000
Yashnobod;2;55;4;5;54000
Sergeli;2;59,8;16;16;27288
Mirzo Ulugbek;2;94;1;5;32000
Yunusobod;3;70;3;3;66000
Yunusobod;3;70;4;4;63000
Yunusobod;4;105;4;4;160000
Yakkasaroy;2;56;7;12;36500
Mirzo Ulugbek;3;70;4;4;64000
Mirzo Ulugbek;3;82;4;4;88000
Yakkasaroy;3;110;4;6;295000
Shayhontohur;2;55;2;5;55000
Chilonzor;3;72;2;4;63000
Mirzo Ulugbek;3;80;4;4;81000
Mirobod;2;115;7;8;160000
Mirobod;2;97;6;8;155000
Chilonzor;4;96;2;4;58000
Chilonzor;3;78;6;9;44500
Mirzo Ulugbek;2;58;4;4;33000
Shayhontohur;3;65;3;4;54000
Mirzo Ulugbek;2;57;7;9;29000
Mirzo Ulugbek;2;60;8;9;38000
Yunusobod;2;58;5;9;42000
Mirzo Ulugbek;2;50;4;4;28700
Mirobod;1;55;2;9;61000
Shayhontohur;3;45;2;5;28000
Yunusobod;3;70;3;4;67000
Mirzo Ulugbek;2;50;4;4;35500
Mirobod;3;85;5;9;74000
Mirobod;3;80;1;9;100000
Yunusobod;3;68;3;4;68000
Shayhontohur;6;154;4;5;129500
Yunusobod;4;82;1;4;86000
Mirobod;3;75;2;9;74000
Yakkasaroy;3;100;5;5;100000
Yunusobod;3;78;4;4;56000
Yashnobod;1;26;1;4;22000
Uchtepa;1;36;3;4;25500
Olmzor;3;91;3;3;85000
Yunusobod;3;65;4;4;53500
Chilonzor;3;103;4;4;160000
Yunusobod;5;183,5;4;5;203000
Chilonzor;3;75;1;4;60000
Yunusobod;1;67;8;9;42500
Yunusobod;4;94;1;9;66000
Yashnobod;4;130;1;5;155000
Shayhontohur;2;60;5;9;45000
Mirobod;3;75;4;4;70000
Mirobod;3;106;1;4;120000
Mirobod;3;90;3;4;125000
Sergeli;4;98;2;7;65000
Uchtepa;2;49;3;4;34500
Mirzo Ulugbek;3;80;4;4;90000
Yakkasaroy;2;48;5;9;23000
Mirzo Ulugbek;3;73;9;9;45000
Chilonzor;4;125;6;9;250000
Mirzo Ulugbek;3;70;2;5;66000
Chilonzor;3;114;2;9;160000
Yakkasaroy;2;48;1;4;38000
Uchtepa;1;39;3;4;25000
Shayhontohur;3;75;2;9;52000
Mirzo Ulugbek;3;94;16;23;118000
Mirobod;3;110;2;8;169000
Yakkasaroy;2;72;5;16;72000
Mirzo Ulugbek;3;90;2;9;51000
Shayhontohur;3;78;3;5;51000
Mirzo Ulugbek;3;75;5;5;38000
Mirzo Ulugbek;2;50;1;4;30000
Yunusobod;2;65;1;4;34500
Mirzo Ulugbek;2;40;1;3;26000
Yakkasaroy;3;70;4;5;68000
Yunusobod;3;78;4;4;55000
Olmzor;3;64;7;9;58000
Mirzo Ulugbek;2;48;1;4;31000
Chilonzor;1;41;3;4;25800
Uchtepa;2;42;4;5;28500
Shayhontohur;3;80;2;4;72000
Mirzo Ulugbek;2;42;2;5;33500
Yashnobod;3;72;5;9;65000
Shayhontohur;2;70;5;7;56000
Mirzo Ulugbek;2;55;5;5;35000
Mirzo Ulugbek;3;63;2;4;46000
Mirzo Ulugbek;2;50;5;5;35000
Mirzo Ulugbek;2;55;4;4;35000
Mirobod;3;313;5;5;65000
Yakkasaroy;6;213;8;9;165000
Shayhontohur;6;260;1;4;259000
Yunusobod;2;50;4;4;33500
Mirzo Ulugbek;1;42;1;4;26499
Mirzo Ulugbek;3;70;2;3;46500
Mirobod;3;65;1;2;48000
Yashnobod;3;70;4;4;35000
Sergeli;4;100;9;9;45000
Mirzo Ulugbek;2;64,7;4;4;36200
Chilonzor;4;87,71;2;9;70000
Mirobod;4;98;3;4;53000
Yakkasaroy;4;120;1;4;132000
Olmzor;3;59;6;9;33000
Olmzor;2;64,5;4;6;37410
Chilonzor;3;87;4;4;55000
Chilonzor;2;42;2;4;38500
Yunusobod;1;38;1;4;26000
Olmzor;4;200;3;4;250000
Chilonzor;3;87;2;4;70000
Uchtepa;2;42;1;4;33500
Mirobod;3;120,3;10;12;100000
Mirobod;2;55;1;3;65000
Mirzo Ulugbek;2;62;1;4;66000
Yunusobod;4;90;5;5;44000
Yashnobod;2;60;6;9;77000
Mirzo Ulugbek;3;70;2;5;54000
Mirobod;4;187;4;5;145000
Yashnobod;3;61;3;4;38000
Chilonzor;2;51;1;4;36000
Mirzo Ulugbek;4;93;2;4;75000
Mirobod;3;65;3;4;58500
Yashnobod;4;50;1;4;35000
Yunusobod;3;60;3;4;75000
Uchtepa;2;48;4;5;28500
Uchtepa;2;50;4;4;30000
Chilonzor;3;88;4;4;59990
Uchtepa;3;68;3;4;52500
Chilonzor;3;72;2;9;62000
Chilonzor;3;64;1;2;45000
Uchtepa;2;58;2;9;42200
Chilonzor;3;68;1;4;45200
Yunusobod;3;130;3;8;200000
Mirobod;3;72;2;9;82000
Yakkasaroy;2;53;5;8;43000
Mirzo Ulugbek;3;75;5;5;38000
Mirobod;3;75;4;5;72000
Yakkasaroy;2;79;13;17;101564
Yakkasaroy;7;216;7;8;250000
Mirobod;2;60;2;9;60000
Mirobod;4;121;6;10;109989
Mirzo Ulugbek;3;54;1;1;35500
Mirzo Ulugbek;2;49,3;4;4;39900
Mirzo Ulugbek;3;64;3;4;39000
Yunusobod;3;72;4;4;96000
Chilonzor;2;42;1;4;35000
Yashnobod;3;65;4;4;55000
Mirzo Ulugbek;3;64;3;5;52000
Chilonzor;2;48;2;4;34500
Yunusobod;2;50;2;4;31000
Yashnobod;2;65;2;4;68000
Mirzo Ulugbek;3;115;4;4;87000
Chilonzor;2;75;1;8;60000
Olmzor;4;80;1;4;53000
Mirzo Ulugbek;2;52;3;4;35500
Shayhontohur;4;100;2;9;72000
Olmzor;2;74;4;9;41000
Shayhontohur;5;150;2;2;138000
Mirzo Ulugbek;2;50;1;4;30000
Mirzo Ulugbek;3;94;16;23;118000
Mirzo Ulugbek;3;83;6;16;83000
Mirobod;3;75;3;9;70000
Mirobod;3;75;2;9;74000
Mirobod;2;65;8;9;52000
Shayhontohur;3;75;5;9;52000
Mirobod;3;110;2;8;169000
Mirzo Ulugbek;2;52;4;5;36500
Olmzor;3;83;4;9;55000
Uchtepa;1;34;2;4;28500
Mirobod;4;85;3;4;55000
Yunusobod;3;78;4;4;55000
Uchtepa;2;52;4;5;33500
Mirzo Ulugbek;2;60;6;9;34000
Mirzo Ulugbek;1;35;4;4;27000
Chilonzor;1;30;2;4;27000
Mirobod;3;110;7;9;130000
Yakkasaroy;1;35;16;16;17700
Uchtepa;2;42;4;5;28500
Olmzor;3;107;2;7;105000
Yakkasaroy;4;100;9;9;50000
Mirobod;3;87;3;9;84000
Olmzor;3;107;3;7;102000
Shayhontohur;3;85;4;7;170000
Mirzo Ulugbek;2;40;2;5;33500
Yunusobod;4;78;1;4;52000
Mirzo Ulugbek;2;55;5;5;35000
Mirzo Ulugbek;2;50;4;4;33000
Mirzo Ulugbek;2;50;5;5;35000
Yunusobod;3;70;3;4;47000
Mirzo Ulugbek;2;58;4;4;34996
Yakkasaroy;1;43;5;16;37000
Yakkasaroy;3;62;7;9;45000
Yakkasaroy;3;63;7;9;45000
Yunusobod;2;60;3;5;39000
Yunusobod;2;58;2;4;41500
Yunusobod;2;58;5;9;42000
Yunusobod;2;58;5;9;42000
Mirzo Ulugbek;1;42;1;4;26500
Yunusobod;2;65;5;9;42000
Yunusobod;2;55;1;9;42000
Yunusobod;4;110;4;9;96000
Mirobod;3;62;4;4;33000
Uchtepa;1;45;5;9;25600
Yakkasaroy;2;47,3;7;9;52000
Yunusobod;2;63;1;4;40000
Yashnobod;2;64;4;9;52000
Shayhontohur;1;50;9;9;23000
Chilonzor;2;60;2;4;38000
Chilonzor;2;60;1;4;47500
Mirzo Ulugbek;4;139;5;9;295000
Mirzo Ulugbek;2;60;1;9;49000
Mirobod;3;100;4;4;87000
Yakkasaroy;4;120;1;4;132000
Mirzo Ulugbek;2;65;3;4;56500
Yunusobod;3;70;3;4;63000
Mirzo Ulugbek;2;55;4;4;52500
Shayhontohur;3;73;1;9;75000
Mirzo Ulugbek;5;157;1;4;150000
Mirobod;2;60;2;6;77000
Mirzo Ulugbek;3;94;16;22;118000
Mirzo Ulugbek;1;36;4;4;21000
Mirzo Ulugbek;2;62;9;9;28000
Yunusobod;3;75;3;4;43000
Olmzor;4;86;4;5;40000
Sergeli;1;32;1;1;16500
Olmzor;3;70;2;5;36000
Yunusobod;1;43;1;4;45000
Yunusobod;1;43;3;4;39000
Yashnobod;2;47,2;3;4;30000
Yunusobod;5;140;8;9;85000
Yangihayot;2;63;2;7;26500
Shayhontohur;3;85;4;12;53000
Chilonzor;3;98;8;9;60000
Mirobod;1;35;4;4;48000
Yunusobod;3;80;1;5;50000
Shayhontohur;7;230;2;5;230000
Mirobod;2;65;2;9;60000
Chilonzor;2;70;2;7;56000
Chilonzor;3;77;1;4;48000
Chilonzor;2;50;3;5;34500
Chilonzor;2;48;3;4;31000
Chilonzor;2;50;3;5;35500
Chilonzor;2;60;4;5;37500
Chilonzor;2;54;3;5;36500
Chilonzor;1;42;4;9;28500
Chilonzor;1;36;3;5;27500
Olmzor;3;58;2;9;37751
Mirzo Ulugbek;3;117;2;5;132000
Mirobod;6;170;8;9;130000
Mirzo Ulugbek;3;103;1;4;170000
Chilonzor;2;45;1;4;39500
Mirobod;2;60;2;6;77000
Mirobod;4;120;1;4;132000
Shayhontohur;2;65;2;4;56500
Yakkasaroy;2;55;4;4;37000
Mirobod;3;85;5;9;74000
Mirobod;4;115;5;5;115000
Yakkasaroy;2;51;2;4;48000
Yunusobod;3;73;3;5;60000
Uchtepa;2;56;3;5;32000
Yakkasaroy;1;43;5;16;37000
Chilonzor;2;46;3;4;25000
Uchtepa;1;26,4;1;4;18500
Shayhontohur;2;65;3;4;56500
Uchtepa;1;40;1;5;25200
Shayhontohur;3;70;2;4;55000
Mirzo Ulugbek;4;92;4;5;54600
Shayhontohur;3;75;1;9;78000
Mirzo Ulugbek;3;73;7;8;47500
Chilonzor;3;67;2;4;52500
Mirobod;2;60;2;6;77000
Sergeli;3;71;3;7;52000
Mirzo Ulugbek;3;75;5;5;39000
Shayhontohur;3;75;2;4;67000
Shayhontohur;2;65;3;4;56000
Yunusobod;1;50;7;9;36998
Olmzor;1;43;4;4;27000
Yunusobod;2;60;2;9;52000
Mirobod;2;68;8;8;90000
Olmzor;4;85;3;5;78000
Yunusobod;2;55;1;3;43500
Uchtepa;2;57;5;5;36000
Mirobod;4;120;1;5;134500
Mirobod;2;70;7;8;65000
Yunusobod;2;58;2;4;45000
Mirobod;3;108;5;10;103000
Yakkasaroy;4;90;3;4;88000
Olmzor;4;100;9;9;62500
Uchtepa;1;40;1;5;25150
Olmzor;3;75;1;9;73000
Mirzo Ulugbek;3;71;3;8;53000
Mirzo Ulugbek;2;78;1;4;26500
Chilonzor;5;169;5;9;93000
Yunusobod;2;62;3;4;55000
Olmzor;2;46;4;4;30000
Chilonzor;2;70;9;12;42000
Mirzo Ulugbek;3;152;4;8;285000
Yakkasaroy;3;70;2;5;70000
Mirzo Ulugbek;3;58;1;4;47000
Shayhontohur;2;65;3;4;56500
Uchtepa;2;50;1;4;36000
Mirzo Ulugbek;1;42;1;4;26500
Yunusobod;2;58;2;4;41500
Mirobod;3;64;4;4;38500
Mirzo Ulugbek;2;50;4;4;35000
Mirzo Ulugbek;3;100;6;7;75000
Mirzo Ulugbek;2;45;3;7;45000
Mirzo Ulugbek;2;38;4;5;35000
Mirzo Ulugbek;4;86;2;5;80000
Mirzo Ulugbek;1;38;3;4;42000
Yunusobod;2;49;2;4;36000
Uchtepa;2;56;6;9;34500
Sergeli;3;85;1;9;59000
Olmzor;2;58;4;5;36000
Mirzo Ulugbek;2;50;5;5;35000
Yashnobod;2;65;3;4;56500
Mirzo Ulugbek;2;55;5;5;35000
Shayhontohur;3;78;1;3;98000
Chilonzor;2;47;2;4;29000
Mirzo Ulugbek;2;50;1;4;30000
Mirzo Ulugbek;2;45;2;5;33500
Chilonzor;2;48;4;4;32500
Uchtepa;2;42;4;5;28500
Chilonzor;2;47;2;4;38700
Mirobod;1;40;4;4;46500
Mirzo Ulugbek;2;66;6;9;33500
Chilonzor;3;60;1;4;41500
Olmzor;1;58;4;7;46000
Yunusobod;2;59;2;4;57000
Mirobod;4;125;2;4;65000
Shayhontohur;7;230;2;5;230000
Mirzo Ulugbek;2;60;4;4;34000
Mirobod;3;135;3;9;88000
Mirzo Ulugbek;2;50;3;4;33000
Shayhontohur;2;78;3;5;71000
Mirzo Ulugbek;2;48;4;4;28000
Mirzo Ulugbek;2;56;3;5;31000
Mirzo Ulugbek;2;45;3;7;45000
Mirzo Ulugbek;4;86;2;5;80000
Mirzo Ulugbek;2;56;5;5;31000
Mirzo Ulugbek;3;72;4;4;80000
Mirobod;3;75;3;4;74000
Shayhontohur;2;47;4;4;36000
Mirzo Ulugbek;2;55;2;3;29000
Mirzo Ulugbek;2;65;3;4;47000
Mirzo Ulugbek;2;55;2;2;29500
Mirzo Ulugbek;3;72;4;5;67000
Mirobod;2;64;4;4;52000
Mirzo Ulugbek;2;60;5;5;31000
Yunusobod;4;100;3;5;85000
Mirzo Ulugbek;3;65;3;4;38000
Chilonzor;1;32;2;5;26500
Chilonzor;1;42;2;5;26000
Chilonzor;1;45;2;5;29500
Chilonzor;1;36;1;5;27500
Chilonzor;2;50;2;4;38500
Chilonzor;2;60;3;4;38000
Chilonzor;2;50;1;4;35000
Mirzo Ulugbek;1;40;3;3;30000
Mirzo Ulugbek;5;100;4;4;48000
Mirzo Ulugbek;3;115;2;9;115000
Shayhontohur;3;71;2;6;45000
Shayhontohur;4;90;5;5;65000
Mirzo Ulugbek;2;60;4;4;44000
Shayhontohur;3;72;4;9;60000
Yunusobod;2;62;1;4;40500
Mirzo Ulugbek;4;93;3;5;62000
Chilonzor;3;65;5;5;50000
Uchtepa;3;70;5;5;40100
Bektemir;4;94;9;9;40000
Chilonzor;1;32;4;4;25500
Uchtepa;2;72;5;12;40000
Mirzo Ulugbek;2;45;1;4;22000
Chilonzor;2;46;3;5;35000
Mirobod;1;45;3;9;59000
Chilonzor;3;88;6;8;50000
Yashnobod;3;69,8;2;7;45370
Mirzo Ulugbek;3;72;2;8;48500
Yunusobod;1;38;4;4;26000
Mirzo Ulugbek;4;85;2;4;69900
Yashnobod;2;60;2;6;30000
Mirzo Ulugbek;3;86;2;5;57000
Shayhontohur;2;65;3;4;56500
Yashnobod;2;60;6;9;80000
Yakkasaroy;2;95;8;9;130000
Mirzo Ulugbek;3;74;9;9;54000
Yakkasaroy;2;51,14;5;5;56000
Uchtepa;4;80;2;5;51500
Mirzo Ulugbek;3;105;5;6;86000
Yakkasaroy;2;70;8;9;48000
Mirzo Ulugbek;2;65;2;4;68000
Mirzo Ulugbek;3;80;4;4;37000
Mirzo Ulugbek;2;48;1;4;28000
Mirzo Ulugbek;1;38;1;4;39500
Chilonzor;1;38;2;4;24000
Yakkasaroy;3;72;1;5;72898
Mirzo Ulugbek;1;23,8;2;4;21000
Uchtepa;2;50;1;4;38000
Yashnobod;1;28;1;3;19000
Yunusobod;3;68;4;4;70000
Yakkasaroy;4;96;9;9;49000
Chilonzor;2;52;1;4;34500
Yakkasaroy;5;118;9;9;50000
Mirzo Ulugbek;2;40;1;3;25499
Shayhontohur;2;55;4;9;33000
Uchtepa;3;65;4;4;34200
Mirobod;2;48,6;3;4;43700
Sergeli;2;52;1;4;41000
Mirobod;3;72;3;9;52000
Uchtepa;4;88;5;5;45000
Shayhontohur;2;58;3;4;57000
Chilonzor;2;62;3;4;39500
Chilonzor;2;60;2;5;38500
Chilonzor;2;50;2;5;35500
Chilonzor;2;50;2;4;33500
Chilonzor;1;36;2;4;25500
Chilonzor;1;30;4;4;24500
Chilonzor;1;40;3;4;28500
Chilonzor;1;42;2;5;26500
Shayhontohur;3;72;8;9;55000
Chilonzor;2;50;1;4;35500
Chilonzor;3;90;8;9;42000
Mirobod;2;69;9;10;62000
Chilonzor;2;56;1;4;49000
Uchtepa;2;80;8;8;41744
Chilonzor;2;57;8;9;36000
Yunusobod;2;55;2;4;33000
Yakkasaroy;3;100;7;9;77000
Yakkasaroy;1;39;1;5;27500
Chilonzor;2;49;1;4;43000
Uchtepa;4;80;4;5;40000
Shayhontohur;2;50;8;12;31000
Chilonzor;4;125;3;9;210000
Chilonzor;2;44;1;4;30000
Uchtepa;2;47;1;4;31500
Mirobod;3;65;4;4;35000
Yunusobod;2;57;3;4;35500
Yunusobod;4;90;2;4;64000
Yunusobod;5;110;4;5;58000
Yashnobod;2;58;2;4;62000
Yunusobod;2;58;3;9;34000
Yunusobod;3;70;2;4;55000
Mirobod;4;122;3;5;65000
Yakkasaroy;2;48;5;9;23000
Uchtepa;2;72;4;6;55000
Sergeli;2;59;2;7;25000
Yakkasaroy;3;101;4;9;65000
Mirobod;3;60;3;4;40000
Shayhontohur;2;47;4;4;36000
Mirobod;3;90;4;5;46700
Mirobod;3;85;5;9;74000
Uchtepa;2;50;3;4;35000
Uchtepa;2;56;6;9;34400
Yakkasaroy;2;48;5;9;23000
Olmzor;3;145;1;4;95000
Chilonzor;1;32;1;4;26000
Yakkasaroy;4;198;5;8;280000
Yashnobod;3;75;6;9;58000
Mirzo Ulugbek;3;77;3;5;55000
Olmzor;2;58;2;9;37000
Uchtepa;1;18;4;4;12300
Mirzo Ulugbek;2;50;3;4;33500
Mirzo Ulugbek;2;50;3;5;39000
Mirobod;4;120;1;4;135000
Shayhontohur;2;68;4;4;70000
Chilonzor;4;76;3;4;59000
Mirzo Ulugbek;5;110;2;4;78800
Sergeli;2;58;2;5;34000
Yashnobod;1;18;3;4;11500
Chilonzor;2;60;4;9;47000
Mirobod;3;100;2;4;75000
Uchtepa;2;40;5;5;29000
Shayhontohur;4;130;7;7;94000
Olmzor;3;77,36;1;7;64600
Uchtepa;2;48;1;4;36500
Mirzo Ulugbek;5;213;5;6;220000
Yakkasaroy;4;86;8;9;52000
Uchtepa;2;51;1;4;35500
Olmzor;3;72;1;5;45000
Chilonzor;3;58,9;3;4;55000
Yunusobod;2;70;2;4;68000
Chilonzor;4;100;3;4;56000
Mirzo Ulugbek;3;79;3;5;75000
Yashnobod;3;135;8;9;99900
Yunusobod;4;177;5;5;179000
Mirobod;4;170;2;7;259000
Yunusobod;3;110;2;9;100000
Yashnobod;5;207;5;6;119900
Mirzo Ulugbek;5;208;1;5;119900
Chilonzor;3;105;5;10;126000
Mirzo Ulugbek;3;121;5;10;109000
Mirobod;3;127;7;12;135000
Mirzo Ulugbek;1;30;2;4;27300
Shayhontohur;3;100;7;9;55000
Chilonzor;3;70;2;4;56000
Chilonzor;3;70;2;5;46000
Chilonzor;2;54;2;5;36500
Chilonzor;2;68;4;4;38500
Chilonzor;2;60;4;9;41500
Chilonzor;2;50;2;5;35500
Chilonzor;2;68;4;4;38500
Chilonzor;1;32;2;4;27000
Chilonzor;1;46;2;4;30500
Chilonzor;1;32;2;4;28500
Mirobod;4;166;5;9;129500
Chilonzor;1;40;4;5;26500
Chilonzor;2;45;1;4;36500
Yunusobod;3;67;4;4;40000
Yakkasaroy;2;64;1;5;42000
Chilonzor;2;60;5;9;45000
Yashnobod;2;70;2;4;34500
Yashnobod;2;70;2;4;35000
Yashnobod;2;70;2;4;45000
Yakkasaroy;4;167;4;7;370000
Yashnobod;5;321;1;1;48000
Mirzo Ulugbek;2;65;6;9;55000
Yunusobod;1;32;1;4;23000
Yakkasaroy;2;48;5;9;23000
Chilonzor;2;42;3;4;36000
Chilonzor;2;57;4;4;37500
Yakkasaroy;1;38;2;5;26700
Chilonzor;3;67;5;5;35000
Uchtepa;3;73;5;5;38500
Mirobod;3;110;7;9;70000
Uchtepa;3;72;4;9;43500
Chilonzor;3;67;3;4;57000
Olmzor;3;70;3;4;48000
Mirzo Ulugbek;1;41;3;4;31000
Mirzo Ulugbek;2;60;5;9;42000
Mirzo Ulugbek;2;42;5;5;31000
Chilonzor;3;70;3;4;65000
Chilonzor;3;100;3;9;79000
Chilonzor;2;54;3;4;36500
Chilonzor;3;62;4;4;42500
Chilonzor;2;43;4;4;35000
Chilonzor;2;50;5;5;42000
Chilonzor;2;58;4;9;47000
Chilonzor;2;52;5;5;45000
Sergeli;4;95;5;9;46500
Chilonzor;4;84;3;4;62000
Chilonzor;1;25;3;9;21500
Chilonzor;4;100;5;9;56000
Uchtepa;2;50;3;5;36000
Uchtepa;2;50;4;4;38000
Chilonzor;2;48;1;4;36500
Chilonzor;2;67;1;9;48000
Uchtepa;3;72;5;9;38000
Uchtepa;3;79;3;4;50000
Uchtepa;2;40;1;4;33000
